"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"BCA","BLACK CANYON LIMITED","Materials","05/05/2021",7779042
"BCBDB","BOWEN COKING COAL LIMITED","Materials","22/06/1995","--"
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","Technology Hardware & Equipment","06/11/1986",6654488
"BCI","BCI MINERALS LIMITED","Materials","15/12/2006",664128004
"BCK","BROCKMAN MINING LIMITED","Materials","11/01/2011",129923250
"BCM","BRAZILIAN CRITICAL MINERALS LIMITED","Materials","12/08/2005",7440710
"BCN","BEACON MINERALS LIMITED","Materials","20/10/2006",105659105
"BCT","BLUECHIIP LIMITED","Technology Hardware & Equipment","09/06/2011","SUSPENDED"
"BDG","BLACK DRAGON GOLD CORP.","Materials","29/08/2018",15185803
"BDM","BURGUNDY DIAMOND MINES LIMITED","Materials","04/01/2013",75330611
"BDT","BIRDDOG TECHNOLOGY LIMITED","Technology Hardware & Equipment","20/12/2021",7912815
"BDX","BCAL DIAGNOSTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/07/2021",34035014
"BEL","BENTLEY CAPITAL LIMITED","Not Applic","07/11/1986",609023
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","Banks","19/12/1985",5654513678
"BEO","BEONIC LTD","Software & Services","17/12/1999",13554792
"BET","BETMAKERS TECHNOLOGY GROUP LTD","Consumer Services","11/12/2015",87322515
"BEZ","BESRA GOLD INC.","Materials","08/10/2021",16724036
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","Food, Beverage & Tobacco","28/08/2015","SUSPENDED"
"BFG","BELL FINANCIAL GROUP LIMITED","Financial Services","12/12/2007",391307617
"BFL","BSP FINANCIAL GROUP LIMITED","Banks","25/05/2021",3270539853
"BGA","BEGA CHEESE LIMITED","Food, Beverage & Tobacco","19/08/2011",1559492780
"BGD","BARTON GOLD HOLDINGS LIMITED","Materials","28/06/2021",81002130
"BGE","BRIDGE SAAS LIMITED","Software & Services","06/10/2022",4996480
"BGL","BELLEVUE GOLD LIMITED","Materials","20/12/2005","SUSPENDED"
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","Consumer Discretionary Distribution & Retail","20/07/2017",842146245
"BGT","BIO-GENE TECHNOLOGY LTD","Materials","29/11/2017",6644932
"BHD","BENJAMIN HORNIGOLD LIMITED","Not Applic","12/05/2017",4347943
"BHP","BHP GROUP LIMITED","Materials","13/08/1885",179588605274
"BIM","BINDI METALS LIMITED","Materials","28/06/2022",4893000
"BIO","BIOME AUSTRALIA LIMITED","Household & Personal Products","30/11/2021",100888260
"BIS","BISALLOY STEEL GROUP LIMITED","Materials","23/06/2003",146105983
"BIT","BIOTRON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2001",3981738
"BKI","BKI INVESTMENT COMPANY LIMITED","Not Applic","12/12/2003",1283343424
"BKT","BLACK ROCK MINING LIMITED","Materials","10/12/2003",29388798
"BKW","BRICKWORKS LIMITED","Materials","30/06/1962",3581970073
"BKY","BERKELEY ENERGIA LIMITED","Energy","16/09/2003",260791078
"BLG","BLUGLASS LIMITED","Semiconductors & Semiconductor Equipment","22/09/2006",31289526
"BLU","BLUE ENERGY LIMITED.","Energy","13/10/1994",12956815
"BLX","BEACON LIGHTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","15/04/2014",717980028
"BLZ","BLAZE MINERALS LIMITED","Energy","12/09/1996",3917370
"BM8","BATTERY AGE MINERALS LTD","Materials","04/11/2020",7147851
"BMG","BMG RESOURCES LIMITED","Materials","12/05/2004",7545574
"BMH","BAUMART HOLDINGS LIMITED","Capital Goods","19/06/2015",5789790
"BML","BOAB METALS LIMITED","Materials","15/07/2004",27423925
"BMM","BAYAN MINING AND MINERALS LIMITED","Materials","14/07/2021",3366631
"BMN","BANNERMAN ENERGY LTD","Energy","28/04/2005",364835150
"BMO","BASTION MINERALS LIMITED","Materials","16/03/2021","SUSPENDED"
"BMR","BALLYMORE RESOURCES LIMITED","Materials","03/09/2021",19440364
"BMT","BEAMTREE HOLDINGS LIMITED","Health Care Equipment & Services","06/06/2019",57956806
"BNL","BLUE STAR HELIUM LIMITED","Energy","24/11/1994",18864197
"BNR","BULLETIN RESOURCES LIMITED","Materials","20/12/2010",13799826
"BNZ","BENZ MINING CORP.","Materials","23/12/2020",75419009
"BOA","BOA RESOURCES LTD","Materials","11/10/2012",2343704
"BOC","BOUGAINVILLE COPPER LIMITED","Materials","31/12/1970",126334688
"BOD","BOD SCIENCE LIMITED","Consumer Discretionary Distribution & Retail","27/10/2016","SUSPENDED"
"BOE","BOSS ENERGY LTD","Energy","25/07/2007",966767121
"BOL","BOOM LOGISTICS LIMITED","Capital Goods","14/10/2003",55188850
"BOQ","BANK OF QUEENSLAND LIMITED.","Banks","24/08/1971",4240019207
"BOT","BOTANIX PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","24/01/1985",678109486
"BP8","BPH GLOBAL LTD","Pharmaceuticals, Biotechnology & Life Sciences","13/06/2000",1824924
"BPH","BPH ENERGY LTD","Financial Services","06/08/2004",10964095
"BPM","BPM MINERALS LIMITED","Materials","30/12/2020",3230112
"BPP","BABYLON PUMP & POWER LIMITED","Capital Goods","13/12/1996",12497745
"BPT","BEACH ENERGY LIMITED","Energy","30/06/1972",2771820392
"BRE","BRAZILIAN RARE EARTHS LIMITED","Materials","21/12/2023",451994352
"BRG","BREVILLE GROUP LIMITED","Consumer Durables & Apparel","25/05/1999",3850461367
"BRI","BIG RIVER INDUSTRIES LIMITED","Materials","01/05/2017",107593071
"BRK","BROOKSIDE ENERGY LIMITED","Energy","31/10/2005",35916956
"BRL","BATHURST RESOURCES LIMITED.","Materials","21/06/2013",167757885
"BRN","BRAINCHIP HOLDINGS LTD","Software & Services","13/10/2011",374762221
"BRU","BURU ENERGY LIMITED","Energy","01/09/2008",30396975
"BRX","BELARAROX LIMITED","Materials","28/01/2022",28174024
"BSA","BSA LIMITED","Commercial & Professional Services","15/11/1999",3313148
"BSL","BLUESCOPE STEEL LIMITED","Materials","15/07/2002",9013432397
"BSN","BASIN ENERGY LIMITED","Energy","04/10/2022",1596781
"BSX","BLACKSTONE MINERALS LIMITED","Materials","23/01/2017",43975333
